Nuclide ; Tl-210 
Element ; Thallium
Z ; 81
Daughter(s) ; (B-) ; Pb-210 ; 100
Q- ; 5482
Possible parent(s) ; (alpha) ; Bi-214 ; 0.021
Half-life (min) ; 1.30 ; 0.03
Half-life (s) ; 78.0 ; 1.8
Decay constant (1/s) ; 8.89E-3 ; 0.21E-3
Specific activity (Bq/g) ; 25.5E18 ; 0.6E18
Reference ; CEA/LNE-LNHB - 2008
Coincidence threshold ; 10%
Emissions (65 lines) sorted by nuclide and by decreasing intensity
----------------------------------------------------------------- Tl-210 -----------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end ; Possible coinc./Sum of ; Parent
799.6 ; 0.3 ; 98.969 ; 0.030 ; g ; Pb-210 ; 1 ; 0 ; 296 (S=1095.6), 1070 (S=1870) ; Tl-210
296 ; 3 ; 79 ; 10 ; g ; Pb-210 ; 2 ; 1 ; 799.6 (S=1095.6), 1310 (S=1606) ; Tl-210
1310 ; 20 ; 20.8 ; 4.9 ; g ; Pb-210 ; 6 ; 2 ; 296 (S=1606) ; Tl-210
1210 ; 20 ; 16.8 ; 4.0 ; g ; Pb-210 ; 9 ; 6 ;  ; Tl-210
1070 ; 20 ; 11.9 ; 4.9 ; g ; Pb-210 ; 4 ; 1 ; 799.6 (S=1869.6) ; Tl-210
74.97 ;  ; 11 ; 6 ; XKa1 ; Pb ;  ;  ;  ; Tl-210
2430 ; 30 ; 8.9 ; 3.0 ; g ; Pb-210 ; 9 ; 3 ;  ; Tl-210
2360 ; 30 ; 7.9 ; 3.0 ; g ; Pb-210 ; 8 ; 2 ;  ; Tl-210
72.805 ;  ; 7 ; 4 ; XKa2 ; Pb ;  ;  ;  ; Tl-210
860 ; 30 ; 6.9 ; 2.0 ; g ; Pb-210 ; 7 ; 5 ;  ; Tl-210
1110 ; 20 ; 6.9 ; 2.0 ; g ; Pb-210 ; 5 ; 2 ;  ; Tl-210
2010 ; 30 ; 6.9 ; 2.0 ; g ; Pb-210 ; 10 ; 4 ;  ; Tl-210
1410 ; 20 ; 4.9 ; 2.0 ; g ; Pb-210 ; 5 ; 1 ;  ; Tl-210
2090 ; 30 ; 4.9 ; 2.0 ; g ; Pb-210 ; -1 ; 9 ;  ; Tl-210
97 ; 30 ; 4 ; 2 ; g ; Pb-210 ; 3 ; 2 ;  ; Tl-210
356 ; 10 ; 4 ; 2 ; g ; Pb-210 ; -1 ; 2 ;  ; Tl-210
84.9527 ;  ; 3.8 ; 1.9 ; XK'b1 ; Pb ;  ;  ;  ; Tl-210
382 ; 10 ; 3 ; 2 ; g ; Pb-210 ; -1 ; 3 ;  ; Tl-210
910 ; 30 ; 3 ; 2 ; g ; Pb-210 ; -1 ; 5 ;  ; Tl-210
2280 ; 12 ; 3 ; 2 ; g ; Pb-210 ; 7 ; 1 ;  ; Tl-210
480 ; 36 ; 2 ; 1 ; g ; Pb-210 ; 11 ; 9 ;  ; Tl-210
670 ; 20 ; 2 ; 1 ; g ; Pb-210 ; -1 ; 4 ;  ; Tl-210
