# Δt[s], U[V], I[mA], R_Probe[kΩ], R_Zylinder[kΩ]
120 15.4 152.3 0.0224 0.0220
120 16.01 153.0 0.0242 0.0233
120 16.07 153.4 0.0258 0.0254
120 16.11 153.7 0.0273 0.0276
120 16.15 154.0 0.0288 0.0294
120 16.18 154.2 0.0303 0.0305
120 16.20 154.3 0.0317 0.0312
120 16.22 154.4 0.0330 0.0321
120 16.24 154.5 0.0343 0.0336
120 16.25 154.6 0.0356 0.0354
120 16.26 154.7 0.0369 0.0371
120 16.28 154.8 0.0382 0.0384
120 16.29 154.8 0.0395 0.0394
120 16.30 154.9 0.0406 0.0401
120 16.31 154.9 0.0419 0.0410
120 16.32 155.0 0.0430 0.0421
120 16.33 155.0 0.0442 0.0436
120 16.34 155.1 0.0454 0.0454
120 16.34 155.1 0.0465 0.0474
120 16.35 155.1 0.0477 0.0493
120 16.36 155.2 0.0490 0.0508
120 16.36 155.2 0.0502 0.0520
300 16.38 155.3 0.0530 0.0532
300 16.39 155.3 0.0557 0.0550
300 16.40 155.4 0.0584 0.0597
300 16.41 155.4 0.0612 0.0634
300 16.42 155.5 0.0640 0.0649
300 16.42 155.5 0.0665 0.0640
300 16.43 155.5 0.0688 0.0655
300 16.43 155.6 0.0710 0.0700
300 19.28 182.8 0.0810 0.0794
300 19.30 182.8 0.0810 0.0794
